stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
20001,1,Kalemegdan (Donji grad),44.8271550000,20.4532710000,1,0,
20002,2,Tadeuša Košćuška,44.8258910000,20.4552580000,1,0,
20003,3,Tadeuša Košćuška,44.8262160000,20.4550140000,1,0,
20004,4,Kalemegdan,44.8202950000,20.4532900000,1,0,
20005,5,Kalemegdan,44.8208670000,20.4541020000,1,0,
20006,6,Pristanište  Ka Bloku 45,44.8187280000,20.4494280000,1,0,
20007,7,Pristanište,44.8190310000,20.4495650000,1,0,
20008,8,Brankov most,44.8148500000,20.4508700000,1,0,
20009,9,Brankov most,44.8152560000,20.4507740000,1,0,
20011,11,Ekonomski fakultet,44.8123130000,20.4534060000,1,0,
20012,12,Savski trg,44.8068820000,20.4551300000,1,0,
20013,13,Savski trg,44.8072654490,20.4555010368,1,0,
20014,14,Palata pravde,44.8043110000,20.4529940000,1,0,
20015,15,Palata pravde,44.8046140000,20.4533560000,1,0,
20016,16,Mostar,44.7986160000,20.4485460000,1,0,
20017,17,Mostar,44.7987781000,20.4488534000,1,0,
20018,18,Sajam,44.7965090000,20.4426490000,1,0,
20019,19,Sajam,44.7964500000,20.4428360000,1,0,
20020,20,Ruska,44.7952963094,20.4382570088,1,0,
20021,21,Ruska,44.7951190000,20.4377850000,1,0,
20022,22,Gospodarska mehana,44.7937300000,20.4311890000,1,0,
20023,23,Gospodarska mehana,44.7937540000,20.4313990000,1,0,
20052,52,Dorćol /Kneginje Ljubice/,44.8210370000,20.4642210000,1,0,
20053,53,Dorćol /Kneginje Ljubice/,44.8213950000,20.4639990000,1,0,
20054,54,Pijaca Skadarlija,44.8179932890,20.4673329689,1,0,
20055,55,Pijaca Skadarlija,44.8186240000,20.4669540000,1,0,
20056,56,Bulevar despota Stefana,44.8163220000,20.4694220000,1,0,
20057,57,Bulevar despota Stefana,44.8165730000,20.4694200000,1,0,
20058,58,Takovska,44.8135230000,20.4719500000,1,0,
20059,59,Takovska,44.8129890000,20.4726150000,1,0,
20060,60,Bežanijska kosa /Grčka/,44.8155587837,20.3712402331,1,0,
20061,61,Palilulska pijaca,44.8104408816,20.4747484624,1,0,
20062,62,Mašinski fakultet,44.8076580000,20.4772460000,1,0,
20063,63,Vukov spomenik,44.8054810000,20.4779270000,1,0,
20064,64,Vukov spomenik,44.8055720000,20.4783980000,1,0,
20065,65,Pravni fakultet,44.8067760000,20.4711770000,1,0,
20066,66,Pravni fakultet,44.8063290000,20.4732680000,1,0,
20067,67,Trg Slavija /Nemanjina/,44.8034940000,20.4640550000,1,0,
20068,68,Trg Slavija /Nemanjina/,44.8031960000,20.4643380000,1,0,
20069,69,Savski trg,44.8076240000,20.4572820000,1,0,
20070,70,Savski trg,44.8071720000,20.4578340000,1,0,
20071,71,Braće Baruh,44.8246060000,20.4576140000,1,0,
20072,72,Braće Baruh,44.8251440000,20.4570450000,1,0,
20073,73,Kralja Petra,44.8231070000,20.4604300000,1,0,
20074,74,Kralja Petra,44.8234210000,20.4601900000,1,0,
20075,75,Dinarska,44.7877690000,20.4623830000,1,0,
20076,76,Omladinski stadion,44.8146430000,20.4911100000,1,0,
20077,77,Vatrogasna komanda,44.8119790000,20.4878760000,1,0,
20078,78,Vatrogasna komanda,44.8131330000,20.4894380000,1,0,
20079,79,Novo groblje,44.8097610000,20.4846830000,1,0,
20080,80,Novo groblje,44.8108890000,20.4867630000,1,0,
20081,81,VMC Karaburma,44.8130640000,20.4923780000,1,0,
20082,82,Studentski trg,44.8183410000,20.4581640000,1,0,
20083,83,Gradska bolnica,44.7999270000,20.4990350000,1,0,
20084,84,Tašmajdan /park/,44.8095600000,20.4680260000,1,0,
20085,85,Mašinski fakultet,44.8076860000,20.4769780000,1,0,
20086,86,Vukov spomenik /Bul.kralja Aleksa./,44.8039980000,20.4787660000,1,0,
20087,87,GO Zvezdara,44.8023060000,20.4827860000,1,0,
20088,88,GO Zvezdara,44.8026290000,20.4822370000,1,0,
20089,89,Pijaca Đeram,44.8004010000,20.4873900000,1,0,
20090,90,Pijaca Đeram,44.8010020000,20.4861530000,1,0,
20091,91,Batutova,44.7953737658,20.4997128061,1,0,
20092,92,Pop Stojanova,44.7986090000,20.4916790000,1,0,
20093,93,Pop Stojanova,44.7994550000,20.4898730000,1,0,
20094,94,Lion,44.7969830000,20.4955230000,1,0,
20095,95,Lion,44.7974760000,20.4945890000,1,0,
20096,96,Batutova,44.7951130000,20.4998610000,1,0,
20097,97,Batutova,44.7959460000,20.4981570000,1,0,
20098,98,Pijaca Zvezdara,44.7930290000,20.5049260000,1,0,
20099,99,Pijaca Zvezdara,44.7932880000,20.5047760000,1,0,
20100,100,dr Velizara Kosanovića,44.7925030000,20.5090390000,1,0,
20101,101,dr Velizara Kosanovića,44.7919550000,20.5108420000,1,0,
20102,102,Mite Ružića,44.7904603882,20.5136410012,1,0,
20103,103,Mite Ružića,44.7910760000,20.5126920000,1,0,
20104,104,Koste Trifkovića,44.7886060000,20.5163230000,1,0,
20105,105,Koste Trifkovića,44.7893330000,20.5158270000,1,0,
20106,106,Ustanička,44.7848120000,20.5177240000,1,0,
20107,107,Ustanička,44.7843980000,20.5181520000,1,0,
20108,108,Vukov spomenik /Bul.kralja Aleksa./,44.8045400000,20.4776880000,1,0,
20109,109,Pravni fakultet,44.8075480000,20.4709050000,1,0,
20110,110,Banovo brdo,44.7680220000,20.4137470000,1,0,
20111,111,Tašmajdan,44.8086960000,20.4667710000,1,0,
20112,112,Tašmajdan,44.8092728563,20.4674696914,1,0,
20113,113,RK Beograđanka,44.8061860000,20.4637360000,1,0,
20114,114,RK Beograđanka,44.8064730000,20.4642290000,1,0,
20117,117,Staro sajmište,44.8118660000,20.4390160000,1,0,
20118,118,Blok 21,44.8137010000,20.4335320000,1,0,
20119,119,Blok 21,44.8138395517,20.4340565490,1,0,
20120,120,Sava centar,44.8091500000,20.4293850000,1,0,
20121,121,Sava centar,44.8101470000,20.4307220000,1,0,
20122,122,Blok 23,44.8066710000,20.4271550000,1,0,
20123,123,Blok 23,44.8067820000,20.4276790000,1,0,
20126,126,Železnička stanica Novi Beograd,44.8067408138,20.4182318730,1,0,
20127,127,Železnička stanica Novi Beograd,44.8068740000,20.4185330000,1,0,
20128,128,Beogradska autobuska stanica,44.8039510000,20.4160080000,1,0,
20129,129,Beogradska autobuska stanica,44.8046040000,20.4173590000,1,0,
20130,130,Agostina Neta,44.8045400000,20.4028050000,1,0,
20131,131,Agostina Neta,44.8043620000,20.4047230000,1,0,
20132,132,Omladinskih brigada,44.8045360000,20.3984460000,1,0,
20133,133,Omladinskih brigada,44.8044830000,20.4002640000,1,0,
20134,134,Blok 70,44.8042038317,20.3934818773,1,0,
20135,135,Blok 70,44.8041640000,20.3939260000,1,0,
20136,136,Gandijeva,44.8032890000,20.3872730000,1,0,
20137,137,Gandijeva,44.8035050000,20.3889870000,1,0,
20138,138,Nehruova,44.8014780000,20.3802270000,1,0,
20139,139,Nehruova,44.8018820000,20.3818750000,1,0,
20140,140,OŠ Branko Radičević,44.7997630000,20.3754440000,1,0,
20141,141,OŠ Branko Radičević,44.8002830000,20.3770260000,1,0,
20142,142,dr Ivana Ribara,44.7969110000,20.3716710000,1,0,
20143,143,dr Ivana Ribara,44.7981480000,20.3720500000,1,0,
20144,144,Blok 45,44.7939220000,20.3740210000,1,0,
20145,145,Blok 45,44.7937940000,20.3742560000,1,0,
20146,146,Trg Slavija /Bulevar oslobođenja/,44.8013210000,20.4660370000,1,0,
20147,147,Trg Slavija /Bulevar oslobođenja/,44.8013660000,20.4662650000,1,0,
20148,148,Karađorđev park,44.7969200000,20.4652230000,1,0,
20149,149,Karađorđev park,44.7983420000,20.4657480000,1,0,
20150,150,Franše DEperea,44.7925570000,20.4663090000,1,0,
20151,151,Franše DEperea,44.7930660000,20.4662280000,1,0,
20152,152,Zvečanska,44.7886230000,20.4657250000,1,0,
20153,153,Trg oslobođenja,44.7871890000,20.4663170000,1,0,
20154,154,Trg oslobođenja,44.7861730000,20.4673880000,1,0,
20155,155,VMC Karaburma,44.8135800000,20.4923130000,1,0,
20156,156,Bože Jankovića,44.7836130000,20.4703490000,1,0,
20157,157,Kralja Vladimira,44.7820680000,20.4714330000,1,0,
20158,158,Kralja Vladimira,44.7816820000,20.4718220000,1,0,
20159,159,Vitanovačka,44.7771080000,20.4745100000,1,0,
20160,160,Vitanovačka,44.7773360000,20.4745700000,1,0,
20161,161,Petrovačka,44.7752050000,20.4754250000,1,0,
20162,162,Servisi,44.8098810000,20.4934450000,1,0,
20163,163,Nikšićka,44.7714790000,20.4779210000,1,0,
20164,164,Nikšićka,44.7730390000,20.4771450000,1,0,
20165,165,Visoka škola elektrotehnike,44.7684380000,20.4795610000,1,0,
20166,166,Visoka škola elektrotehnike,44.7691810000,20.4790780000,1,0,
20167,167,Saobraćajni fakultet,44.7651680000,20.4825180000,1,0,
20168,168,Saobraćajni fakultet,44.7659540000,20.4822200000,1,0,
20169,169,Voždovac,44.7608213000,20.4847029000,1,0,
20170,170,Banjica,44.7572150000,20.4780680000,1,0,
20171,171,Banjica,44.7573370000,20.4776740000,1,0,
20172,172,Vračarska,44.7570120000,20.4812550000,1,0,
20173,173,Vračarska,44.7571880000,20.4808300000,1,0,
20174,174,Voždovac,44.7613790000,20.4842680000,1,0,
20175,175,Voždovac,44.7611340000,20.4840800000,1,0,
20176,176,Pravni fakultet,44.8074800000,20.4720840000,1,0,
20177,177,Hipodrom,44.7876600000,20.4239570000,1,0,
20178,178,Hipodrom,44.7878120000,20.4244270000,1,0,
20179,179,Šumarski fakultet,44.7830440000,20.4210640000,1,0,
20180,180,Šumarski fakultet,44.7834294073,20.4226938871,1,0,
20181,181,Škola Josif Pančić,44.7809910000,20.4171850000,1,0,
20182,182,Škola Josif Pančić,44.7815400000,20.4178280000,1,0,
20183,183,Dom zdravlja,44.7777267163,20.4145009809,1,0,
20184,184,Dom zdravlja,44.7790390000,20.4159410000,1,0,
20185,185,Kijevska,44.7753490000,20.4135880000,1,0,
20186,186,Kijevska,44.7758163810,20.4138221332,1,0,
20187,187,Trebevićka,44.7712360000,20.4141370000,1,0,
20188,188,Trebevićka,44.7715240000,20.4143260000,1,0,
20189,189,Banovo brdo,44.7686010000,20.4134670000,1,0,
20190,190,Park "Tašmajdan",44.8089200000,20.4689320000,1,0,
20191,191,Omladinskih brigada 1,44.8143170000,20.4040480000,1,0,
20192,192,Beogradska arena /antifašističke borbe/,44.8117580000,20.4223870000,1,0,
20193,193,Trg Republike,44.8170260000,20.4598300000,1,0,
20194,194,Trg Republike,44.8171170000,20.4599350000,1,0,
20195,195,Terazije,44.8126610000,20.4610430000,1,0,
20196,196,Terazije,44.8133684000,20.4610353000,1,0,
20197,197,RK Beograđanka,44.8071900000,20.4640240000,1,0,
